YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2023,3,1,6,0,0,0,0,0,0,0,0,-0.28,-8.13,-4.2,2.81,55.19,0,72.76,1.22,27.06,2.322457805,27.56
2023,3,1,7,0.42,0.42,0.82,44.38,45.12,6.12,0.02,0.12,2.02,-6.23,-2.1,3.36,55.62,0,72.81,1.13,29.4,2.151128951,28.61
2023,3,1,8,1.29,1.29,1.84,143.67,146.2,19.79,0.25,1.25,6.41,-6.49,-0.04,3.3,40.31,0,72.87,0.89,342.68,1.694252005,343.45
2023,3,1,9,2.11,2.16,2.74,244.33,250.8,36.95,0.79,3.9,9.16,-6.32,1.42,3.42,34.38,0,72.92,2.5,252.75,4.759134847,252.7
2023,3,1,10,2.7,2.84,3.43,320,330.95,49.89,1.38,6.95,10.77,-5.99,2.4,3.48,31.5,0,72.95,3.45,238.9,6.567606089,238.97
2023,3,1,11,3.01,3.26,3.87,361.8,381.05,57.29,1.81,9.4,11.76,-5.27,3.25,3.66,31.06,0,72.94,4.26,232.9,8.109565779,232.9
2023,3,1,12,2.18,2.97,4.02,262.52,338.98,37.44,1.16,6.05,11.94,-4.34,3.8,3.91,32.81,0,72.9,4.7,229.99,8.947173512,230.15
2023,3,1,13,2.23,2.92,3.88,276.95,337.1,41.56,1.3,6.95,11.66,-3.49,4.08,4.15,35.31,0,72.85,4.67,228.39,8.890063894,228.53
2023,3,1,14,1.92,2.5,3.44,235.6,287.23,34.86,0.96,4.98,11.04,-3,4.02,4.27,37.94,0.02,72.8,4.37,227.53,8.318967712,227.69
2023,3,1,15,1.44,1.84,2.76,171.85,209.58,25.29,0.55,2.7,10.05,-2.81,3.62,4.33,41.06,0.04,72.77,3.87,226.72,7.367140743,226.93
